iter	CrossEntropy	F1
0	0.219793211	0.09613375131
1	0.1995611442	0.1606425703
2	0.1906067976	0.2413793103
3	0.1834675554	0.2878365831
4	0.1770101149	0.3160762943
5	0.1677322154	0.3754385965
6	0.1616760206	0.4027898867
7	0.1551793169	0.4395229983
8	0.1511245403	0.4605042017
9	0.1424215496	0.5101543461
10	0.1376996886	0.5232744783
11	0.133949988	0.5368171021
12	0.1309319625	0.550747443
13	0.1247605654	0.5886850153
14	0.1212474167	0.6057401813
15	0.11625917	0.6336779911
16	0.1132863294	0.6407053637
17	0.1119024954	0.6436950147
18	0.109970643	0.6574545455
19	0.1085578348	0.6676321506
20	0.1068834945	0.6728971963
21	0.1049441316	0.681915654
22	0.1012643095	0.6995073892
23	0.09960050126	0.7054698457
24	0.09825552242	0.710986704
25	0.09573769958	0.7324137931
26	0.09408776636	0.7361206306
27	0.0915567892	0.7409432673
28	0.08936556675	0.7460857726
29	0.08831761495	0.7505070994
30	0.08769062731	0.7527027027
31	0.08671488098	0.7570850202
32	0.08454423657	0.7620967742
33	0.08242708637	0.7701532312
34	0.08030815621	0.7812293457
35	0.07879480212	0.7863247863
36	0.07786335502	0.7887139108
37	0.07712561064	0.7921311475
38	0.0755674711	0.8015564202
39	0.07393235928	0.8103225806
40	0.0724183453	0.81414791
41	0.07183854388	0.8189379399
42	0.0701319733	0.8225496477
43	0.06889607108	0.8251748252
44	0.06741953171	0.8256997455
45	0.06600638051	0.8292063492
46	0.06425703019	0.8342785129
47	0.06177461981	0.8401997503
48	0.06099018846	0.8393977415
49	0.05953940637	0.852886406
50	0.05865296179	0.853432282
51	0.05780493388	0.854848672
52	0.05680390349	0.8613496933
53	0.05572068249	0.8645003066
54	0.05505632009	0.8627692308
55	0.05436405144	0.8631319359
56	0.05399054702	0.8662969809
57	0.05353828602	0.8678549478
58	0.05235134998	0.8717004297
59	0.051034247	0.8768292683
60	0.05041838625	0.8780487805
61	0.04978901086	0.8805336568
62	0.04948961776	0.8812121212
63	0.04839871691	0.8839177751
64	0.04805370917	0.8833836858
65	0.04750596867	0.8870192308
66	0.0470475169	0.8863499699
67	0.04645772166	0.884057971
68	0.0458497839	0.8879568604
69	0.04494807076	0.8890221956
70	0.04429321593	0.8936678614
71	0.04373716174	0.8943283582
72	0.0431969014	0.8957712924
73	0.04295646396	0.8940754039
74	0.0425153342	0.8974970203
75	0.04213472732	0.900591716
76	0.04148922812	0.9023090586
77	0.04104746018	0.9046773239
78	0.04056527854	0.9052132701
79	0.04025283967	0.9065088757
80	0.03988083301	0.9072652097
81	0.03947420837	0.9078014184
82	0.0391846528	0.9075829384
83	0.03895239447	0.9110194461
84	0.0383716857	0.9120943953
85	0.03820403113	0.9101654846
86	0.03766156104	0.9134785168
87	0.03710616239	0.9125295508
88	0.03655487501	0.9157336476
89	0.036245245	0.9176470588
90	0.03592931133	0.9175500589
